410,630,1,P01,A,01,DMSO
379,696,1,P01,A,02,DMSO
402,597,1,P01,A,03,Azaguanine-8
395,590,1,P01,A,04,Metronidazole
413,566,1,P01,A,05,Allantoin
377,556,1,P01,A,06,Cotinine (-)
352,466,1,P01,A,07,Acetazolamide
355,465,1,P01,A,08,Edrophonium chloride
362,504,1,P01,A,09,Metformin hydrochloride
362,549,1,P01,A,10,Moroxidine hydrochloride
390,627,1,P01,A,11,Atracurium besylate
401,568,1,P01,A,12,"Baclofen (R,S)"
342,423,1,P01,A,13,Isoflupredone acetate
437,740,1,P01,A,14,Acyclovir
352,484,1,P01,A,15,Amiloride hydrochloride dihydrate
432,800,1,P01,A,16,Diazoxide
404,633,1,P01,A,17,Amprolium hydrochloride
461,877,1,P01,A,18,Amidopyrine
366,882,1,P01,A,19,Hydrochlorothiazide
437,879,1,P01,A,20,Ursolic acid
457,963,1,P01,A,21,Sulfaguanidine
431,765,1,P01,A,22,Pindolol
407,876,1,P01,A,23,DMSO
403,838,1,P01,A,24,DMSO
311,599,1,P01,B,01,DMSO
403,737,1,P01,B,02,DMSO
450,929,1,P01,B,03,Isoniazid
455,1351,1,P01,B,04,Mexiletine hydrochloride
439,1212,1,P01,B,05,Pentylenetetrazole
440,1130,1,P01,B,06,Flavoxate hydrochloride
415,1304,1,P01,B,07,Chlorzoxazone
428,980,1,P01,B,08,Bufexamac
452,1046,1,P01,B,09,Ornidazole
453,1112,1,P01,B,10,"Glutethimide, para-amino"
408,901,1,P01,B,11,Ethosuximide
429,1095,1,P01,B,12,"Dropropizine (R,S)"
443,1009,1,P01,B,13,Mafenide hydrochloride
398,1190,1,P01,B,14,Pinacidil
420,1039,1,P01,B,15,Riluzole hydrochloride
186,251,1,P01,B,16,Albendazole
450,839,1,P01,B,17,Nitrofurantoin
396,886,1,P01,B,18,Clonidine hydrochloride
444,1135,1,P01,B,19,Hydralazine hydrochloride
466,1040,1,P01,B,20,Bupropion hydrochloride
462,980,1,P01,B,21,Phenelzine sulfate
441,1000,1,P01,B,22,Alprenolol hydrochloride
440,976,1,P01,B,23,DMSO
365,788,1,P01,B,24,DMSO
407,766,1,P01,C,01,DMSO
373,646,1,P01,C,02,DMSO
473,714,1,P01,C,03,Meticrane
479,734,1,P01,C,04,Khellin
502,863,1,P01,C,05,Benzonatate
579,976,1,P01,C,06,Zimelidine dihydrochloride monohydrate
484,895,1,P01,C,07,Hydroflumethiazide
537,941,1,P01,C,08,Azacyclonol
483,847,1,P01,C,09,Sulfacetamide sodic hydrate
475,995,1,P01,C,10,Azathioprine
428,838,1,P01,C,11,Heptaminol hydrochloride
447,856,1,P01,C,12,Lynestrenol
407,834,1,P01,C,13,Sulfathiazole
617,849,1,P01,C,14,Guanabenz acetate
490,1078,1,P01,C,15,Levodopa
325,658,1,P01,C,16,Disulfiram
508,982,1,P01,C,17,Idoxuridine
381,997,1,P01,C,18,Acetylsalicylsalicylic acid
469,920,1,P01,C,19,Captopril
503,795,1,P01,C,20,Mianserine hydrochloride
470,1011,1,P01,C,21,Minoxidil
154,233,1,P01,C,22,Nocodazole
465,1051,1,P01,C,23,DMSO
464,968,1,P01,C,24,DMSO
335,524,1,P01,D,01,DMSO
388,723,1,P01,D,02,DMSO
474,820,1,P01,D,03,Tranexamic acid
435,939,1,P01,D,04,Chlorothiazide
516,867,1,P01,D,05,Etofylline
488,876,1,P01,D,06,Diphenidol hydrochloride
452,743,1,P01,D,07,Tranylcypromine hydrochloride
494,893,1,P01,D,08,Norethindrone
450,905,1,P01,D,09,Alverine citrate salt
471,943,1,P01,D,10,Nortriptyline hydrochloride
415,996,1,P01,D,11,Aceclofenac
438,1070,1,P01,D,12,Niflumic acid
647,895,1,P01,D,13,Iproniazide phosphate
651,1129,1,P01,D,14,Isotretinoin
501,935,1,P01,D,15,Sulfamethoxazole
426,814,1,P01,D,16,Retinoic acid 
413,926,1,P01,D,17,Mephenesin
489,1094,1,P01,D,18,Antazoline hydrochloride
388,1021,1,P01,D,19,Phenformin hydrochloride
491,1095,1,P01,D,20,Ethacrynic acid
468,912,1,P01,D,21,Flutamide
390,862,1,P01,D,22,Praziquantel
411,879,1,P01,D,23,DMSO
391,929,1,P01,D,24,DMSO
395,783,1,P01,E,01,DMSO
425,893,1,P01,E,02,DMSO
463,932,1,P01,E,03,Sulfaphenazole
447,802,1,P01,E,04,R(-) Apomorphine hydrochloride hemihydrate
423,710,1,P01,E,05,Panthenol (D)
455,758,1,P01,E,06,Amoxapine
517,834,1,P01,E,07,Sulfadiazine
437,948,1,P01,E,08,Cyproheptadine hydrochloride
440,921,1,P01,E,09,Norethynodrel
485,940,1,P01,E,10,Famotidine
501,853,1,P01,E,11,Thiamphenicol
